,A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9
94,2.55,1.89,-0.55,6.93,5.28,7.05,3.3,3.97,0.55,2.08,2.05,3.52,1.03,4.46,11.73,2.19,0.76,0.84,0.25,0.85
95,-0.45,4.41,4.41,3.34,5.3,2.7,0.61,-1.28,-1.62,-1.43,2.72,2.87,1.33,2.91,-0.78,-0.2,-0.78,-0.46,-0.29,-1.38
96,1.11,0.99,0.16,3.19,2.29,1.3,1.76,-0.46,-1.84,1.8,2.84,1.51,-0.48,5.25,1.58,4.68,-0.53,-0.04,-0.21,0.78
97,1.66,4.73,3.34,3.35,5.05,-1.02,7.03,2.88,0.56,0.34,1.66,-1.41,-2.04,2.5,0.58,3.68,-0.59,-1.03,-0.21,-0.59
98,1.61,2.87,1.33,2.91,-0.78,-0.2,-0.78,-0.46,-0.29,-1.38,6.1,3.52,1.03,4.46,11.73,2.19,0.84,0.51,0.85,0.25
99,-0.13,-1.41,-1.03,2.5,0.58,3.68,-0.59,0.16,-0.21,-2.04,3.24,1.94,1.34,6.13,0.01,1.85,5.51,0.0,0.79,2.93
100,3.12,1.89,-0.55,6.93,5.28,7.05,3.3,3.97,0.55,2.08,4.5,4.73,3.34,3.35,5.05,-1.02,0.76,2.88,0.56,-0.87
101,2.77,0.9,-0.04,-0.29,8.96,2.2,2.01,0.81,4.09,2.02,-0.26,1.51,-0.04,4.68,1.58,-0.53,-0.12,-0.22,-0.21,-1.71
102,0.19,0.99,1.8,3.19,2.29,1.3,1.76,-0.46,1.44,-1.84,0.82,4.41,4.41,3.34,5.3,2.7,0.61,-1.62,-1.28,-1.43
103,0.28,2.87,-0.46,2.91,-0.78,-0.2,-0.78,-1.13,-0.29,-1.38,1.91,3.52,1.03,4.46,11.73,1.0,0.84,0.85,0.51,0.25
104,0.24,-1.41,-2.04,2.5,0.58,3.68,-0.59,0.16,-0.21,-0.59,0.81,1.94,1.34,6.13,0.01,1.85,5.51,0.0,0.79,2.93
105,0.88,1.89,-0.09,6.93,5.28,7.05,3.3,3.97,0.52,2.08,2.2,4.73,3.34,3.35,5.05,7.03,0.76,2.88,0.2,-0.87
106,0.52,0.9,-0.04,-0.29,8.96,2.2,2.01,2.37,4.09,2.02,0.36,1.51,-0.48,4.68,1.58,-0.53,-0.22,-0.04,-0.21,-1.71
107,4.11,0.99,1.8,1.3,1.76,2.29,1.44,0.12,0.32,-1.84,-0.86,4.41,4.41,2.7,5.3,3.34,0.61,-1.28,-1.62,-1.43
108,-0.13,-0.59,-2.04,2.5,0.58,3.68,-0.59,0.16,-0.39,-1.03,1.64,1.94,1.34,6.13,0.01,1.85,0.0,0.79,-0.99,2.93
109,4.97,2.08,1.89,6.93,5.28,7.05,3.3,-0.28,0.55,-0.55,3.28,4.73,3.34,3.35,5.05,7.03,0.76,0.56,-0.17,-0.87
110,6.35,0.9,-0.04,-0.29,8.96,2.2,2.01,2.37,4.09,-0.01,0.6,1.51,-0.22,-0.53,1.58,4.68,-0.12,-0.04,-1.71,-0.21
111,4.29,0.99,1.8,1.3,1.76,2.29,1.44,0.12,0.32,-1.84,1.2,4.41,4.41,3.34,5.3,2.7,0.61,-1.28,-1.62,-1.43
112,7.18,2.87,-0.46,2.91,-0.78,-0.2,-0.78,-1.13,-0.29,-1.38,0.09,3.52,1.03,4.46,11.73,2.19,0.84,0.85,0.51,0.25
113,0.34,4.73,3.34,3.35,5.05,7.03,-1.02,2.88,0.56,-0.87,2.42,0.9,-0.04,-0.29,8.96,6.9,2.2,2.01,4.09,2.02
114,0.61,1.51,-0.04,4.68,1.58,-0.12,-0.22,-0.53,-1.71,-0.21,3.67,1.34,0.79,1.94,0.01,1.85,5.51,0.0,1.32,2.93
115,1.47,3.52,1.03,4.46,11.73,2.19,0.84,0.51,0.85,0.25,0.09,0.99,0.12,2.29,1.76,1.3,1.44,0.32,-1.84,1.8
116,0.11,2.87,-1.04,2.91,-0.78,-0.2,-0.63,-1.13,1.18,-0.53,3.66,2.08,-0.55,6.93,5.28,7.05,3.3,0.52,-0.28,1.89
117,2.72,2.87,-0.46,2.91,-0.78,-0.63,-0.78,-1.13,-0.29,-1.04,2.55,2.08,-0.55,6.93,5.28,7.05,3.3,3.97,0.55,1.89
118,2.37,4.41,4.41,3.34,5.3,2.7,0.61,-1.28,-0.17,-1.62,-0.45,-2.04,-1.03,2.5,0.58,0.31,3.68,-0.59,-0.39,-0.59
119,4.5,4.73,3.34,3.35,5.05,7.03,0.76,2.88,0.2,-0.87,2.77,0.9,-0.04,2.63,8.96,6.9,2.2,2.01,4.09,2.02
120,2.84,1.51,-0.48,4.68,1.58,-0.12,-0.22,-0.04,-0.21,-1.71,2.47,1.94,1.34,6.13,0.01,1.85,5.51,0.0,0.79,2.93
121,-0.35,3.52,1.03,4.46,11.73,2.19,0.84,0.51,0.85,0.25,1.11,0.99,0.12,3.19,2.29,1.76,1.44,-0.62,-1.84,1.8
122,1.61,2.87,-0.46,2.91,-0.78,1.33,-0.63,-1.13,-0.29,-1.04,3.12,2.08,-0.55,6.93,5.28,7.05,3.3,3.97,0.55,1.89
123,0.82,4.41,4.41,2.7,5.3,3.34,0.61,-1.28,-1.62,-1.43,3.72,-2.04,0.16,2.5,0.31,3.68,-0.59,-1.41,-0.21,-0.59
124,0.52,0.9,-0.04,2.63,8.96,6.9,2.2,2.01,4.09,2.02,7.18,2.87,1.33,2.91,-0.78,-0.2,-0.78,-1.13,-0.29,-1.38
125,3.24,1.94,0.79,6.13,0.01,5.51,1.85,0.0,1.32,2.93,0.88,2.08,-0.55,6.93,5.28,7.05,3.3,3.97,0.52,1.89
126,6.1,3.52,1.03,4.46,11.73,2.19,0.84,0.51,0.85,0.25,-0.26,1.51,-0.48,-0.22,1.58,-0.12,-0.21,-0.04,-0.21,-1.71
127,4.11,0.99,0.12,3.19,2.29,1.76,-0.62,-0.29,-1.84,1.8,1.66,-1.41,-1.03,2.5,3.68,-0.59,0.58,0.16,-0.39,-2.04
128,2.2,4.73,3.34,3.35,5.05,7.03,0.76,2.88,0.2,-0.87,1.2,4.41,4.41,3.34,5.3,2.7,0.61,-1.28,-1.62,-1.43
129,6.35,0.9,-0.04,2.63,8.96,6.9,2.2,2.01,4.09,2.02,0.28,2.87,-1.04,2.91,-0.78,1.33,-0.63,,-0.29,-0.53
130,1.64,1.94,0.79,1.85,6.13,5.51,0.01,-0.5,1.34,2.93,4.97,2.08,-0.55,6.93,5.28,7.05,3.3,3.97,0.55,1.89
131,0.09,3.52,1.03,4.46,11.73,2.19,0.84,0.51,0.85,0.25,0.36,1.51,-0.48,-0.53,1.58,-0.12,4.68,-0.04,-0.21,0.78
132,4.29,0.99,0.12,3.19,2.29,1.76,-0.62,1.44,-1.84,1.8,0.24,-1.41,-2.04,2.5,0.31,3.68,-0.59,0.16,-0.21,-0.5
133,3.28,4.73,0.2,3.34,5.05,7.03,-1.02,2.88,0.34,-0.17,-0.45,4.41,4.41,2.7,5.3,3.34,0.61,-0.32,0.24,-1.62
134,2.42,0.01,2.63,2.2,8.96,6.9,2.01,4.09,2.02,-0.61,0.11,2.87,-0.46,2.91,-0.78,1.33,-0.2,-1.38,1.18,0.22
135,1.47,3.52,1.03,4.46,11.73,2.19,0.84,0.51,0.85,0.25,0.6,1.51,-0.48,0.21,1.58,1.7,-0.53,4.68,-0.26,0.78
136,-0.37,4.73,0.2,3.35,5.05,7.03,2.88,0.34,-0.51,-0.87,-0.38,4.41,4.41,3.34,5.3,0.17,0.61,-0.32,0.33,0.24
137,-0.45,-0.23,-0.59,2.5,0.31,3.68,0.58,-1.03,-0.21,-2.04,2.05,3.52,1.03,4.46,1.0,2.19,0.84,0.51,0.85,0.25
138,3.66,2.08,-0.55,6.93,5.28,7.05,3.3,3.97,0.52,1.89,0.39,2.63,0.81,2.2,8.96,6.9,2.01,4.09,2.02,-0.61
139,2.72,2.87,1.33,2.91,-0.78,-0.2,-0.78,-1.04,-0.29,-1.38,3.67,1.94,0.79,1.85,6.13,5.51,0.01,1.34,0.0,2.93
140,0.19,0.12,0.16,3.19,2.29,1.76,1.44,-0.62,-1.84,1.8,0.34,4.73,3.34,3.35,5.05,7.03,-1.02,2.88,0.56,-0.87
141,0.61,1.51,-0.48,5.25,1.58,-0.53,4.68,0.21,-0.21,-1.71,2.37,4.41,4.41,2.7,5.3,3.34,0.61,0.24,-1.62,-0.66
142,3.72,-0.5,-0.73,2.5,0.31,3.68,-1.03,-0.17,-0.39,-2.04,0.13,3.52,-0.24,4.46,11.73,2.19,0.84,0.51,0.85,0.25
143,2.55,2.08,-0.55,6.93,5.28,7.05,3.3,3.97,0.55,1.89,2.77,0.9,-0.04,-0.29,8.96,6.9,2.01,2.2,4.09,2.02
144,1.61,2.87,-0.78,2.91,1.33,-0.2,-0.78,-1.04,-0.29,-1.38,2.47,1.34,0.79,1.94,6.13,5.51,0.01,0.0,1.66,2.93
145,2.54,0.12,0.16,3.19,2.29,1.76,1.44,0.32,-1.84,1.8,4.5,4.73,3.34,3.35,5.05,7.03,-1.02,2.88,-0.14,-0.87
146,2.84,0.21,1.51,5.25,1.58,1.7,4.68,-0.53,-0.21,-1.71,0.82,4.41,4.41,3.34,5.3,2.7,0.61,-0.66,0.24,0.33
147,1.66,-0.5,-0.73,2.5,0.31,3.68,0.16,0.2,-0.17,-2.04,6.1,3.52,1.03,4.46,11.73,1.0,0.84,0.51,0.85,0.25
148,3.12,2.08,-0.55,6.93,5.28,7.05,3.3,3.97,0.55,1.89,0.52,0.9,0.81,2.2,8.96,6.9,2.01,4.09,2.02,-0.61
149,7.18,2.87,-0.78,-0.63,1.33,-0.2,0.78,-1.04,-0.29,-1.38,0.81,1.94,1.34,1.85,6.13,5.51,0.01,0.79,0.0,2.93
150,1.11,0.12,0.16,3.19,2.29,1.76,1.44,0.32,-1.84,1.8,2.2,4.73,3.34,3.35,5.05,7.03,-1.02,2.88,0.56,-0.87
151,0.6,0.21,1.51,5.25,1.58,1.7,4.68,-0.22,-0.21,-1.71,1.2,4.41,4.41,3.34,5.3,2.7,0.61,-0.27,0.24,-0.66
152,-0.13,-0.5,-1.03,2.5,3.68,0.2,0.16,0.1,-1.41,-2.04,6.35,2.63,0.81,2.2,8.96,6.9,2.01,4.09,2.02,-0.1
153,3.28,4.73,3.34,3.35,5.05,7.03,0.56,2.88,-1.02,-0.87,0.09,3.52,1.03,4.46,11.73,2.19,0.84,0.51,0.85,0.25
154,-0.45,4.41,-0.27,4.41,2.7,-0.22,0.24,0.61,-0.66,-1.62,1.64,1.34,0.79,1.85,6.13,0.01,-0.5,0.0,-0.99,2.93
155,0.88,2.08,-0.55,6.93,5.28,7.05,3.3,3.97,0.52,1.89,4.11,0.99,0.16,3.19,2.29,1.76,0.12,1.44,-1.84,0.32
156,0.28,-1.38,-0.78,2.91,1.33,-0.2,0.78,-1.04,1.18,,0.36,1.51,-1.12,0.21,1.58,1.7,4.68,-0.78,-0.21,-1.71
157,0.24,-0.5,-2.04,2.5,0.31,3.68,1.27,0.16,-0.39,-0.73,2.42,2.63,0.81,2.2,8.96,6.9,2.01,4.09,2.02,-0.1
158,0.4,3.35,0.56,3.34,5.05,7.03,-2.16,2.88,-0.14,-0.87,1.47,3.52,1.03,4.46,11.73,2.19,0.84,0.51,0.85,0.25
